id_genero,artista,similar
4,Atencion Tsunami,Modelo de respuesta polar
4,El Diluvi,Auxili
4,El Diluvi,Xavi Sarrià
4,El Diluvi,Roba Estesa
4,Pokers,Jordi Ninus
4,Pokers,Txarango
4,Pokers,CyBee
4,Texxcoco,Perro
4,Texxcoco,Medalla
4,Texxcoco,Monteperdido
4,Adrià Puntí,Quimi Portet
4,Adrià Puntí,Roger Mas
4,Adrià Puntí,Gerard Quintana
4,Ivette Nadal,Bikimel
4,Ivette Nadal,Lluís Gavaldà
4,Ivette Nadal,Miquel Abras
4,Jane's Addiction,Porno for Pyros
4,Jane's Addiction,Mother Love Bone
4,Jane's Addiction,Stone Temple Pilots
4,La Gossa Sorda,Aspencat
4,La Gossa Sorda,Obrint Pas
4,La Gossa Sorda,Pirat's Sound Sistema
4,Roger Usart,Joana Serrat
4,Roger Usart,Oliva Trencada
4,Roger Usart,Maika Makovski
4,Jacobo Serra,Angel Stanich
4,Jacobo Serra,Luis Brea
4,Jacobo Serra,Egon Soda
4,Kokein,Keike
4,Kokein,Urgabe
4,Kokein,Seiurte
4,Eneritz Furyak,Joseba B. Lenoir
4,Eneritz Furyak,Willis Drummond
4,Eneritz Furyak,M I C E
