nombre_artista,album,fecha,tipo,track
Joaquin Bedoya Y Su Conjunto,El Doctorotico,2017-07-15,track,Aguardiente Embriágame
Lalrindiki Khiangte Daduhi,Min dem lul su,2017-11-24,track,Ka ngai thin
Boi Bumbá Caprichoso,A Poética do Imaginário Caboclo (Ao Vivo),2017-10-05,track,Tesouros da Cabanagem - Ao Vivo
Mohan Rathod,Dulara (Original Motion Picture Soundtrack),2017-12-16,track,Khati Bhojpuriya Marad Chahi Tohra
Abhijit Majumdar,Pedal Mari Mari,2017-05-26,track,Pedal Mari Mari
Amelinha,De Primeira Gandeza - As Canções de Belchior,2017-10-06,track,A Palo Seco
Boi Bumbá Garantido,Magia e Fascínio no Coração da Amazônia,2017-03-22,track,O Olhar de um Coração
Jasraj Joshi,Narayan (Original Motion Picture Soundtrack),2017-10-18,track,Rakhh Himmat
Biquini Cavadão,As Voltas Que O Mundo Dá (Deluxe Edition),2017-09-08,track,Nossa Diferença de Idade (Say You Love Me)
Yuni Shara,Salah Tingkah,2017-08-25,track,Kerempeng Tapi Keren
Kirtidan Gadhvi,Kirtidan Gadhvi Garba 2017,2017-03-25,track,Ambar Gaje
PH e Michel,Nova História (Ao Vivo),2017,track,Tô Com Você - Ao Vivo
Pushparani Huidrom,Kaongamdraba Facebook (Original Motion Picture Soundtrack),2017-11-06,track,Nangna Lapna Tamna
Banda Xeiro Verde,Brega Calypso,2017-06-07,track,"Bate, Esfrega, Estica"
L.N. Shastri,Sad Feeling Songs,2017-07-03,track,"Cheluvamma Premadamma (From ""Chora Chitta Chora"")"
Sirazee,Pahadi Banda,2017,track,Voice of Kullu
CHONGTHAM VIVEK ALY,THAMOI THAMOI TINARE,2017-09-03,track,THAMOI THAMOI TINARE
Satish Das,Ae Mor Phool Jhadi,2017-10-07,track,Ae Mor Phool Jhadi
Vanny Vabiola,A Juo Lai Da,2017-04-17,track,A Juo Lai Da
A.T.I,ENVELOPE,2017-07-27,track,Team No Sleep
Vivek - Mervin,Dora (Telugu) [Original Motion Picture Soundtrack],2017-03-05,track,Run Baby Run - Theme
Ranghon Karbir,Ne Seng Alam,2017-01-18,track,Pleng Un Eh
Boi Bumbá Caprichoso,A Poética do Imaginário Caboclo (Ao Vivo),2017-10-05,track,Caboclo Sangue Azul - Ao Vivo
Carreiro & Capataz,"Lado B, Volume 2",2017-04-28,track,Final da História
Fade2Black,Tabik!,2017-11-29,track,Itu Kau
Gustavo Moura & Rafael,Ao Vivo em Goiânia,2017-09-01,track,Depois da Briga
Hateen,Zero Drive (Ao Vivo),2017-10-27,track,Coração De Plástico - Ao Vivo
Jil Jilala,Compilation Vol 45 (Music),2017-05-17,track,Nour el anwar
Baby Naznin,Ontore Agun,2017,track,Agun Jalaiya Ontore
Dario Moreno,50 succès essentiels 1952-1959,2017-08-01,track,Ton cœur
Tetsuya Komuro,Tetsuya Komuro JOBS#1 (INSTRUMENTAL),2017-03-15,track,NOW1#2017
GAO,Rex Box,2017-11-12,track,Cat Street (Remastered Version)
Marisol,Grabaciones Completas (Remastered),2018-10-26,track,Dos Estrellas - Remastered
Luis Aguile,Grabaciones Completas (Remastered),2018-09-28,track,Cartas de Amor - Remastered
Valkirya,Aire,2018-04-20,track,Aire
Ole Ole,Excursión a los 80s,2018-12-28,track,Puedes subir al cielo
Eneas Perdomo,Al Estilo De Eneas Perdomo,2018-12-15,track,El Lazo Del Caballo
Dargen D'Amico,fotoShop,2018-11-16,track,fotoShop
The Haermorrhoids,Apparatus of the Ultimate Power,2018-07-13,track,Mind of a Douchebag
Juan Carlos Zarabanda,Amor Fingido,2018-04-20,track,Llora Corazón
MAIOLE,Cose Pese,2018-10-26,track,Il gioco del perché
Eric Hutchinson,Modern Happiness (Deluxe Edition),2018-10-26,track,can't stop what's coming - the flowerschool sessions
THE BEAT GARDEN,花火,2018-07-18,track,Satisfaction
The Haermorrhoids,Apparatus of the Ultimate Power,2018-07-13,track,Useless & Fucked
Young Ellens,Practice 2,2018-10-05,track,Como Estas
Patrícia & Adriana,A História Continua,2018-10-26,track,Prazer Eu Sou o Seu Amor
Aminu Ladan Alan Waka,"Iconic Sounds of Africa Vol, 32",2018-04-17,track,Aisha
El Combo De Las Estrellas,Nos Vamos,2018-08-25,track,Nos Vamos
Billy Joe Royal,Haynes Ultimate Guide to Northern Soul,2018-05-18,track,Heart's Desire
