nombre_artista,album,fecha,tipo,track
Gideon Klein,Spiritual Resistance: Music from Theresienstadt,2017-09-01,track,"3 Songs, Op. 1: No. 2, Polivina života"
Johann Sebastian Bach,J.S. Bach Suites Orquestales,2018-03-09,track,"Orchestral Suite No. 2 in B Minor, BWV 1067: I. Ouverture"
Giovanni Pierluigi da Palestrina,In Sorrow's Footsteps: Jackson - Palestrina - Allegri - Macmillan,2018-07-20,track,Ave Maria
Johann Sebastian Bach,J.S. Bach Suites Orquestales,2018-03-09,track,"Orchestral Suite No. 3 in D Major, BWV 1068: VI. Gigue"
Antón García Abril,El Hombre y la Tierra (Banda Sonora Original de la Serie de TVE),2018-12-14,track,El Perro y el Trineo: IDITAROD
Antón García Abril,El Hombre y la Tierra (Banda Sonora Original de la Serie de TVE),2018-12-14,track,Juegos de Verano
Antón García Abril,El Hombre y la Tierra (Banda Sonora Original de la Serie de TVE),2018-12-14,track,Llanto para una Amarga Despedida
Luis de Pablo,LmcsL Messa,2018-12-07,track,Liturgia della parola: Salmo responsoriale
Antón García Abril,El Hombre y la Tierra (Banda Sonora Original de la Serie de TVE),2018-12-14,track,Kluane
Antón García Abril,El Hombre y la Tierra (Banda Sonora Original de la Serie de TVE),2018-12-14,track,Desierto de Nieve: IDITAROD
Johann Sebastian Bach,Bach: The Sonatas for Violin & Harpsichord,2018-05-11,track,"Violin Sonata No. 2 in A Major, BWV 1015: IV. Presto"
Antón García Abril,El Hombre y la Tierra (Banda Sonora Original de la Serie de TVE),2018-12-14,track,Glaciares
Antón García Abril,El Hombre y la Tierra (Banda Sonora Original de la Serie de TVE),2018-12-14,track,Bisontes: Serie Canadiense
Luis de Pablo,LmcsL Messa,2018-12-07,track,Liturgia della parola: Acclamazione al Vangelo
Béla Bartók,55 Classical Soundtracks,2018-06-08,track,"Music for Strings, Percussion and Celesta, BB 114: III. Adagio"
Antón García Abril,El Hombre y la Tierra (Banda Sonora Original de la Serie de TVE),2018-12-14,track,Fauna en Peligro: Serie Venezolana
Antón García Abril,El Hombre y la Tierra (Banda Sonora Original de la Serie de TVE),2018-12-14,track,Cataratas Virginia: Serie Canadiense
Antón García Abril,El Hombre y la Tierra (Banda Sonora Original de la Serie de TVE),2018-12-14,track,Campamento de Montaña
Antón García Abril,El Hombre y la Tierra (Banda Sonora Original de la Serie de TVE),2018-12-14,track,Grizzlies Desde el Aire
Antón García Abril,El Hombre y la Tierra (Banda Sonora Original de la Serie de TVE),2018-12-14,track,Territorio del Yukon: Serie Canadiense
Antón García Abril,El Hombre y la Tierra (Banda Sonora Original de la Serie de TVE),2018-12-14,track,Rebecos Blancos en Jasper
Johann Sebastian Bach,J.S. Bach Suites para Violonchelo,2018-01-12,track,"Cello Suite No. 6 in D Major, BWV 1012: V. Gavotte II - Gavotte I"
