nombre_artista,album,fecha,tipo,track
Franz Schubert,Schubert,2019-03-15,track,"Ständchen, S. 560 (Trans. from Schwanengesang No. 4, D. 957)"
Felix Mendelssohn,Mendelssohn,2019-02-01,track,"Lieder ohne Worte, Op. 19: No. 6 in G Minor (Andante sostenuto) ""Venetian Gondola Song"", MWV U78"
Johann Sebastian Bach,"J.S. Bach: The Well-Tempered Clavier, Book 1, BWV 846-869 / Prelude & Fugue in C Major, BWV 846: I. Prelude",2019-03-15,track,"The Well-Tempered Clavier I, Prelude & Fugue No. 1 in C Major, BWV 846: I. Prelude"
Pyotr Ilyich Tchaikovsky,None but the Lonely Heart,2019-10-18,track,"Six Pieces, Op. 51, TH 143: VI. Valse sentimentale. Tempo di Valse"
Johann Sebastian Bach,Piano Book (Deluxe Edition),2019-03-29,track,"The Well-Tempered Clavier I, Prelude & Fugue No. 1 in C Major, BWV 846: I. Prelude"
Sheet Music Boss,Rush Collection,2020-12-23,track,Rush E
Lucio Dalla,Classic,2020-02-07,track,Caruso
Joaquín Rodrigo,Aranjuez,2020-10-02,track,Rodrigo: Concierto de Aranjuez: II. Adagio
Sonya Belousova,The Witcher (Music from the Netflix Original Series),2020-01-24,track,Toss A Coin To Your Witcher
Celestial Aeon Project,Inns & Taverns,2020-04-09,track,Wild Boar Inn
Edvard Kravchuk,L.I.Y.,2020-03-16,track,Momentary
Fabrizio Paterlini,Transitions III,2020-06-05,track,When Orange is the Sky
Agnes Obel,Myopia,2020-02-21,track,Parliament Of Owls
Yiruma,Room With A View,2020-04-24,track,Room With A View
Orquesta Los Satélites,Me Encantas,2020-05-06,track,Me Encantas
Illuminine,"Dear, Piano",2020-08-21,track,"Patterns, Erase - Simeon Walker Rework"
Brain Power Amadeus,Mozart Effect,2020-03-08,track,La Valse D'amélie
Grupo Beatriz,Bailamos,2020-01-24,track,Fue Difícil
Camille Saint-Saëns,Extravaganza,2020-02-25,track,El Cisne
James Last,Classic,2020-02-07,track,The Lonely Shepherd
ルチアーノ・パヴァロッティ,誰も寝てはならぬ (歌劇『トゥーランドット』より),2020-06-17,track,誰も寝てはならぬ (歌劇『トゥーランドット』より)
Yiruma,Classic,2020-02-07,track,River Flows in You
Ludovico Einaudi,Undiscovered,2020-09-18,track,Choros - Remastered 2020
Ludovico Einaudi,Undiscovered,2020-09-18,track,Main Theme - From “The Third Murder” / Remastered 2020
Niklas Paschburg,Svalbard,2020-02-28,track,Duvet
Frédéric Chopin,Classic,2020-02-07,track,Nocturne in C Sharp
Kris Bowers,Bridgerton (Covers from the Netflix Original Series),2020-12-25,track,Strange (feat. Hillary Smith)
Ludovico Einaudi,Undiscovered,2020-09-18,track,Fuori Dal Mondo - Remastered 2020
Illuminine,"Dear, Piano",2020-08-21,track,"Dear, Dolores - Dominique Charpentier Rework"
Ludovico Einaudi,Undiscovered,2020-09-18,track,Elegy For The Arctic - Remastered 2020
Ben Crosland,The Turn,2020-06-19,track,The Hourglass
Johann Sebastian Bach,Classic,2020-02-07,track,Air on a G String
Claude Debussy,Debussy: Bruyères (Home Session),2020-10-16,track,"Préludes / Book 2, L. 123: 5. Bruyères - Home Session"
Gabriel Fauré,The French Album,2020-08-14,track,"Pavane, Op. 50 (Version for Piano)"
On Piano,Chiar di luna,2020-09-18,track,Chiar di Luna
Christopher Willis,The Personal History of David Copperfield (Original Motion Picture Soundtrack),2020-01-17,track,David's Writings
Alexis Ffrench,The Solo Piano Collection,2020-09-04,track,Dreamland - Solo Piano Version
Hikaru Shirosu,"Waltz No. 1, Op. 6 ""Collapse""",2020-07-03,track,"Waltz No. 1, Op. 6 ""Collapse"""
Grupo Beatriz,Bailamos,2020-01-24,track,Es Problema Mío
Víkingur Ólafsson,Debussy – Rameau,2020-03-27,track,The Arts and the Hours
Arash Safaian,Adagietto (Matthew Herbert Mediterranean Dub),2020-10-16,track,Adagietto
Yiruma,Sunset Bird,2020-05-08,track,Sunset Bird
Camille Saint-Saëns,Saint-Saëns: Carnival of the Animals: The Swan,2020-09-25,track,Carnival of the Animals: The Swan
Alexis Ffrench,Dreamland,2020-03-20,track,Wishing
Jean-Philippe Rameau,"Rameau, Ólafsson: The Arts and the Hours",2020-03-06,track,The Arts and the Hours
Arnold Schoenberg,Schoenberg: Notturno for Strings and Harp,2020-01-17,track,Notturno for Strings and Harp
Johann Sebastian Bach,Bach 101,2020-02-11,track,"J.S. Bach: J.S. Bach: Orchestral Suite No. 3 in D Major, BWV 1068: 2. Air"
Gabríel Ólafs,Piano Works,2020-06-26,track,Filma Solo
Giacomo Puccini,Classic,2020-02-07,track,Nessun Dorma
Ben Crosland,The Turn,2020-06-19,track,Oceans Apart
Jean Sibelius,Finlandia: Finland Independence Day,2020-12-05,track,"13 Pieces for Piano, Op. 76: II. Etude"
Henry Purcell,Voice Of Hope,2020-06-05,track,"Dido and Aeneas, Z. 626 / Act III: ""When I Am Laid in Earth"" Dido's Lamento (Arr. by Mathieu Herzog for Cello and Strings)"
David Clavijo,Metamorphosis,2020-10-21,track,Metamorphosis
Sergei Rachmaninoff,Rachmaninoff: Préludes; Études-Tableaux; Moments musicaux,2020-08-07,track,"12 Songs, Op. 21: V. Lilacs (Transcr. Rachmaninoff for Solo Piano)"
Wolfgang Amadeus Mozart,"Mozart: Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile""",2020-05-22,track,"Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": I. Allegro"
Toms Mucenieks,Spring Waltz (Mariage d'Amour),2016-05-09,track,Spring Waltz (Mariage d'Amour)
Erik Satie,Erik Satie & Friends,2016-04-01,track,Gymnopédie No. 2
London Symphony Orchestra,The Very Best of Sci-fi & Fantasy (From Sucker Punch to V for Vendetta) [Original Motion Picture Soundtrack],2016-12-29,track,"1812 Overture - Finale (From ""V for Vendetta"")"
Jacques Offenbach,Sommernachtskonzert 2016 / Summer Night Concert 2016,2016-06-10,track,Orpheus in the Underworld: Cancan
Elvis Presley,The Wonder of You: Elvis Presley with the Royal Philharmonic Orchestra,2016-10-21,track,Suspicious Minds
Yann Tiersen,EUSA,2016-09-30,track,Penn Ar Lann
Secession Studios,The Untold,2016-12-20,track,Darkness of Light
Arturo Cardelús,Grace,2016-12-30,track,Grace
Ara Malikian,The Incredible Story Of Violin,2016-11-21,track,El Vals de Kairo
Wim Mertens,Dust of truths,2016-11-04,track,Old Katarakt
Grupo Bomba,Más y Mejor,2016-04-16,track,Culpa al Corazón
Yann Tiersen,EUSA,2016-09-30,track,Lok Gweltaz
Federico Albanese,The Blue Hour,2016-01-15,track,Stellify
El Combo Dominicano,Pa' Gozar,2016-11-18,track,Mentiroso Cobarde Tramposo
Mari Samuelsen,Divenire,2016-03-18,track,Divenire
Grupo Tekila,La Banda Que Manda,2016-09-26,track,Te Presumo
Grupo Tekila,La Banda Que Manda,2016-09-26,track,Estos Celos
Federico Albanese,The Blue Hour,2016-01-15,track,Céline
Tartalo Music,Myrdhin (feat. Ian Fontova),2016-10-16,track,Myrdhin
Two Steps from Hell,Vanquish,2016-12-02,track,Enchantress
Grupo Tekila,La Banda Que Manda,2016-09-26,track,Una Cerveza / Vete - Mix Rafaga
George Frideric Handel,Handel: Water Music,2016-02-05,track,"Water Music, Suite No. 1, HWV 348: III. [Allegro]"
Frédéric Chopin,Chopin: Piano Concerto No. 1; Ballades (Deluxe),2016-12-23,track,"Ballade No. 3 in A Flat Major, Op. 47"
Wolfgang Amadeus Mozart,"Mozart: Piano Sonatas, Vol. 3",2016-01-01,track,"Piano Sonata No. 15 in F Major, K. 533: III. Rondo"
