nombre_artista,album,fecha,tipo,track
Mildlife,Phase,2017-11-02,track,The Magnificent Moon
Cold Cave,Glory,2017-09-22,track,Glory
Roger Waters,Is This The Life We Really Want?,2017-06-02,track,The Last Refugee
The Baseballs,The Sun Sessions,2017-10-20,track,Hot N Cold
Slowdive,Slowdive,2017-05-05,track,Don't Know Why
Soen,Lykaia,2017-02-03,track,Jinn
Babe Rainbow,The Babe Rainbow,2017-09-01,track,Johny Says Stay Cool
Chris Rea,Road Songs for Lovers,2017-09-29,track,Moving On
Theory of a Deadman,Rx (Medicate),2017-07-28,track,Rx (Medicate)
Yusuf / Cat Stevens,The Laughing Apple,2017-09-15,track,Blackness of the Night
Citizen Soldier,Let It Burn,2017-06-15,track,Let It Burn
Ron Gallo,HEAVY META,2017-02-03,track,Kill the Medicine Man
All Good Things,Machines,2017-10-20,track,Machines
Mako Road,Brodie Street / Daiquiri,2017-10-10,track,Daiquiri
Charly García,Random,2017-02-24,track,La Máquina de Ser Feliz
DAY6,SUNRISE,2017-06-07,track,I Wait
BACK-ON,AWESOME BEST,2017-09-27,track,Chain
Slowdive,Slowdive,2017-05-05,track,Everyone Knows
Radiohead,OK Computer OKNOTOK 1997 2017,2017-06-23,track,Electioneering - Remastered
Shakra,Snakes & Ladders,2017-11-10,track,Something You Don't Understand
Amén,Infectado,2017-11-12,track,Sé Que Tú No Estás Sólo
Radiohead,OK Computer OKNOTOK 1997 2017,2017-06-23,track,Meeting in the Aisle - Remastered
Adelitas Way,Notorious,2017-10-20,track,Ready for War (Pray for Peace)
Martin Galaz,Lo Que Nos Une,2017-12-20,track,Me Estás Tratando Mal
Radiohead,OK Computer OKNOTOK 1997 2017,2017-06-23,track,A Reminder - Remastered
Temples,Volcano,2017-03-03,track,Certainty
Chris Rea,Road Songs for Lovers,2017-09-29,track,Nothing Left Behind
Depeche Mode,Spirit (Deluxe),2017-03-17,track,Where's the Revolution
Hollywood Undead,Five,2017-10-27,track,California Dreaming
Chris Rea,Road Songs for Lovers,2017-09-29,track,Road Songs for Lovers
Buzz Kull,Chroma,2017-04-20,track,Into the Void
Patty Ray,Cumbias Ecuatorianas,2017-09-15,track,La Pura Verdad
Beach Fossils,Somersault,2017-06-02,track,May 1st
Prophets Of Rage,Prophets Of Rage,2017-09-15,track,Living On The 110
Manchester Orchestra,A Black Mile To The Surface,2017-07-28,track,The Mistake
Car Seat Headrest,Twin Fantasy,2018-02-16,track,Famous Prophets (Stars)
