nombre_artista,album,fecha,tipo,track
Pablo Alborán,Prometo,2017-11-17,track,Saturno
Rozalén,Cuando el Río Suena...,2017-09-15,track,Antes De Verte (with Kevin Johansen)
Paramore,After Laughter,2017-05-12,track,Hard Times
El Duende Callejero,Barre las Penas,2017-09-25,track,Barre las Penas
Dua Lipa,Dua Lipa (Deluxe),2017-06-02,track,Blow Your Mind (Mwah)
Demarco Flamenco,Uno (Edición especial),2017-11-03,track,La Isla del Amor - Remix
Carlos Vives,El Dorado,2017-05-26,track,La Bicicleta
Lorde,Melodrama,2017-06-16,track,Supercut
Antoñito Molina,Déjame que te cuante,2017-02-13,track,Patatín patatán
Selena Gomez,Fetish (feat. Gucci Mane),2017-07-13,track,Fetish (feat. Gucci Mane)
BTS,Love Yourself 承 'Her',2017-09-18,track,DNA
India Martinez,Un Ramito de Violetas,2017-11-03,track,Un Ramito de Violetas
Macklemore,GEMINI,2017-09-22,track,Glorious (feat. Skylar Grey)
Mon Laferte,La Trenza,2017-04-27,track,Amárrame
Greeicy,Amantes,2017-11-03,track,Amantes
Morat,Besos En Guerra,2017-11-03,track,Besos En Guerra
Cali Y El Dandee,Sirena,2018-04-27,track,Sirena
Maroon 5,Red Pill Blues (Deluxe),2018-06-15,track,Girls Like You
Calvin Harris,Promises (with Sam Smith),2018-08-17,track,Promises (with Sam Smith)
Nabález,La Correcta,2018-03-16,track,La Correcta
Morat,Cuando Nadie Ve,2018-06-08,track,Cuando Nadie Ve
Eleni Foureira,Fuego,2018-05-19,track,Fuego
Twenty One Pilots,Trench,2018-10-05,track,Chlorine
Men I Trust,Show Me How,2018-02-28,track,Show Me How
Clean Bandit,What Is Love? (Deluxe Edition),2018-11-30,track,Solo (feat. Demi Lovato)
Morat,Balas Perdidas,2018-10-25,track,Maldita Costumbre
Parcels,Parcels,2018-10-12,track,Lightenup
Morat,Antes De Los Veinte,2018-02-23,track,Antes De Los Veinte
Lewis Capaldi,Breach,2018-11-08,track,Someone You Loved
Morat,Balas Perdidas (Edición Especial),2018-10-25,track,Mi Suerte
Leon Bridges,Good Thing,2018-05-04,track,Beyond
BLACKPINK,SQUARE UP,2018-06-15,track,Forever Young
JENNIE,SOLO,2018-11-12,track,SOLO
Niña Pastori,Bajo Tus Alas,2018-04-27,track,La Habitación (feat. Manuel Carrasco)
Piso 21,Ubuntu,2018-05-11,track,Me Llamas
Morat,Balas Perdidas (Edición Especial),2018-10-25,track,Causa Perdida
TWICE,Summer Nights,2018-07-09,track,What is Love?
benny blanco,FRIENDS KEEP SECRETS,2018-12-07,track,Eastside (with Halsey & Khalid)
Ariana Grande,Sweetener,2018-08-17,track,breathin
Ariana Grande,Sweetener,2018-08-17,track,everytime
Morat,Balas Perdidas (Edición Especial),2018-10-25,track,¿Qué Ganas?
Khalid,Suncity,2018-10-19,track,Better
Clean Bandit,Solo (feat. Demi Lovato),2018-05-17,track,Solo (feat. Demi Lovato)
Jonas Blue,Blue,2018-11-09,track,Rise
Parcels,Parcels,2018-10-12,track,IknowhowIfeel
Drake,Scorpion,2018-06-29,track,Nice For What
BTS,Love Yourself 結 'Answer',2018-08-24,track,IDOL
Pyllo Cortes,Por Volverme a Ver,2018-02-07,track,Por Volverme a Ver
Dvicio,Qué Tienes Tú (feat. Jesús de Reik & Mau y Ricky),2018-05-04,track,Qué Tienes Tú (feat. Jesús de Reik & Mau y Ricky)
Galvan Real,Nada Te Debo,2018-07-09,track,Nada Te Debo
