artist,bio
Fonseca,"Sus comienzos:::

Juan Fernando FONSECA nació en Bogotá, el 29 de mayo de 1979. Su gusto por la música se manifestó desde muy pequeño, durante su época escolar. Sus apariciones en los escenarios se dieron en conciertos y festivales de colegios. Con apenas un círculo de allegados, FONSECA se atrevió a incursionar en la escena musical en 1999 con su primer proyecto “Bomba de Tiempo”, cuyo objetivo era demostrar aquello de lo que su voz era capaz de hacer. <a href=""https://www.last.fm/music/Fonseca"">Read more on Last.fm</a>"
7-Toun," <a href=""https://www.last.fm/music/7-toun"">Read more on Last.fm</a>"
Käärijä," <a href=""https://www.last.fm/music/K%C3%A4%C3%A4rij%C3%A4"">Read more on Last.fm</a>"
Addison Rae,"Addison Rae Easterling (Lafayette, 6 de octubre de 2000), conocida como Addison Rae, es una influencer, actriz y cantante estadounidense. <a href=""https://www.last.fm/music/Addison+Rae"">Read more on Last.fm</a>"
Beret,"Francisco Javier Álvarez Beret, (Sevilla, 2 de julio de 1996), conocido como Beret es un cantante español de hip hop, rap y reggae​. También ha participado en varios conciertos alrededor del mundo.

Interesado por el canto desde su niñez, comenzó a publicar grabaciones caseras de sus temas en internet. Sus visualizaciones hicieron que pudiera grabar discos y dar conciertos. Además, ha colaborado con otros músicos como Ambkor o SFDK.

En el año 2018 firma con la discografica Warner Music Group <a href=""https://www.last.fm/music/beret"">Read more on Last.fm</a>"
DELLAFUENTE,"Rap, reggaeton, flamenco y trap: Dellafuente es un artista andaluz que combina una variedad de estilos musicales y cuyas canciones han obtenido el éxito en YouTube.

Pablo Enoc Bayo, conocido por sus fans como Dellafuente, nace en Granada en 1992. De orígenes humildes, comienza a trabajar con la música a los 15 años, al mismo tiempo que trabajaba con su padre. Cuando le llega la oportunidad de grabar un tema gratis, comienza a ascender rápidamente en las plataformas musicales, especialmente aquellas dedicadas al hip-hop. <a href=""https://www.last.fm/music/Dellafuente"">Read more on Last.fm</a>"
Tito Double P," <a href=""https://www.last.fm/music/Tito+Double+P"">Read more on Last.fm</a>"
David Guetta,"David Guetta (París, 7 de noviembre de 1967) es un DJ francés de música electrónica especializado en house. Sus primeros hits europeos fueron ""Money"" y ""Just a little more love"", pero fue en 2005, con su single ""The World Is Mine"", que alcanzó el #1 en las listas dance por toda Europa. Más conocido aún se volvió a partir de un anuncio de gomina de L'Oréal el cual protagonizó.

Desde la temprana edad de 13 años, comenzó a mezclar sus primeros vinilos. <a href=""https://www.last.fm/music/David+Guetta"">Read more on Last.fm</a>"
Benjamin Steer," <a href=""https://www.last.fm/music/Benjamin+Steer"">Read more on Last.fm</a>"
ZICO,"Nombre real: Woo Jiho 
Nombre artístico : Zico
Fecha de nacimiento: 14 de septiembre 1992
estatura: 182 cm
Agencia:  Stardom Entertainment

Este rapero, compositor y modelo. Tiene una gran trayectoria artística ah colaborado con varios artistas, IU, Cho pd, hanhae, miss $, bizniz, hyuna, jkyun, i1 1evn, etc. 

Actualmente es el líder, compositor y rapero principal en el grupo Block B 

Fue trainee de la SMEntertainment.
tiene un  Hermano mayor TaeWoon de Coed School. <a href=""https://www.last.fm/music/ZICO"">Read more on Last.fm</a>"
Demarco Flamenco,"Marco Jesús Borrego, conocido artísticamente como Demarco Flamenco es un cantante del género flamenco fusión. Nació en una zona humilde de la barriada de Utrera, Provincia de Sevilla, España. Su disco debut “Uno” resultó todo un fenómeno musical al superar más de 30 millones de reproducciones en el país europeo. <a href=""https://www.last.fm/music/Demarco+Flamenco"">Read more on Last.fm</a>"
Clairo,"Claire Cottrill, (Carlisle, Massachusetts, Agosto 18  de 1998) también conocida por su nombre artístico Clairo, es una artista estadounidense  que escribió ""Pretty Girl"", una canción producida en lo-fi que atrajo más de 15 millones de visitas en YouTube. <a href=""https://www.last.fm/music/Clairo"">Read more on Last.fm</a>"
Joost,"Joost Klein, también conocido como Joost, es un rapero, escritor y youtuber neerlandés. Es conocido sobre todo por sus canciones Friesenjung y Europapa <a href=""https://www.last.fm/music/Joost"">Read more on Last.fm</a>"
Lali,"Lali es una cantautora y actriz argentina. Desde pequeña ha incursionado el mundo artístico a través de distintas producciones exitosas en televisión, cine y teatro.
Sus canciones la han ubicado como una de las voces pop en español más escuchadas a nivel mundial.
En 2013 lanzó su álbum debut ""A Bailar"" de manera independiente, con el que se transformó en una precursora del pop femenino en Sur América.
En 2016 lanza ""SOY"" su segundo álbum <a href=""https://www.last.fm/music/Lali"">Read more on Last.fm</a>"
Mocci," <a href=""https://www.last.fm/music/Mocci"">Read more on Last.fm</a>"
Julieta Venegas,"Julieta Venegas Percevault Nació un 24 de noviembre de 1970. Es una compositora y cantante mexicana que se crió y creció en Tijuana, México. 

En los últimos años de su carrera musical ha logrado posicionarse como una de las cantautoras más destacadas dentro del pop latino. Ha sido ganadora tanto del Grammy como el Grammy Latino y a lo largo de su carrera ha vendido más de 10 millones de discos mundialmente.

A la edad de 17 años, un amigo <a href=""https://www.last.fm/music/Julieta+Venegas"">Read more on Last.fm</a>"
Jelly Roll,"Jason Bradley DeFord, conocido profesionalmente como Jelly Roll, es un cantante, rapero y compositor estadounidense de Antioch, Tennessee. Comenzó su carrera en 2003 y saltó a la fama tras el lanzamiento de sus sencillos ""Need a Favor"" y ""Son of a Sinner"", el último de los cuales ganó tres CMT Music Awards. <a href=""https://www.last.fm/music/Jelly+Roll"">Read more on Last.fm</a>"
Kavinsky,"Kavinsky es el pseudónimo del artista francés Vincent Belorgey. Hasta la fecha ha editado dos EP's en el sello Record Makers.

Tras varios años de actor, la carrera musical de Kavinsky comienza el 2005 tras ser inspirado por sus amigos Jackson Fourgeaud y Quentin Dupieux, este último, director de cine, incluye obras de Kavinsky en su filme ""Steak"". Durante este periodo Kavisnky produce su primer single Testarossa Autodrive inspirado en el deportivo italiano de los Años 80 Ferrari Testarossa. <a href=""https://www.last.fm/music/Kavinsky"">Read more on Last.fm</a>"
Tyla,"Tyla Laura Seethal  (Johannesburgo, Sudáfrica; 30 de enero de 2002), es una cantante y compositora sudafricana. Firmó con Epic Records en 2021 después del éxito nacional de su sencillo debut ""Getting Late"" con Kooldrink. Tyla saltó a la fama internacional con su sencillo de 2023 ""Water"", que entró en las listas de diecisiete países, incluido el top diez de la lista de sencillos del Reino Unido. También la convirtió en la primera solista sudafricana en 55 años en ingresar al Billboard Hot 100 de Estados Unidos. <a href=""https://www.last.fm/music/Tyla"">Read more on Last.fm</a>"
Lazaro," <a href=""https://www.last.fm/music/Lazaro"">Read more on Last.fm</a>"
Olivia Dean,"Olivia Lauryn Dean es una cantante inglesa de neo soul. Su música se describe como ""baladas devastadoras y desgarradoras e himnos de amor propio para cantar"". Ha lanzado un álbum de estudio: Messy y cinco EP. <a href=""https://www.last.fm/music/Olivia+Dean"">Read more on Last.fm</a>"
Clave Especial," <a href=""https://www.last.fm/music/Clave+Especial"">Read more on Last.fm</a>"
Juan Freer," <a href=""https://www.last.fm/music/Juan+Freer"">Read more on Last.fm</a>"
Shakira,"Shakira Isabel Mebarak Ripoll, es una cantante y compositora de pop-rock en español e inglés, nació el 2 de Febrero de 1977 en Barranquilla, Colombia. En árabe, Shakira (شاكرة) significa ""llena de gracia"". Ha sido ganadora en dos ocasiones del Premio Grammy y ocho veces ganadora del Grammy Latino.La artista ha vendido más de 135 millones de records según informa NBC.

Se trata de una de las cantantes del ámbito musical latino con más éxito internacional. <a href=""https://www.last.fm/music/Shakira"">Read more on Last.fm</a>"
La K'onga," <a href=""https://www.last.fm/music/La+K%27onga"">Read more on Last.fm</a>"
