artist,bio
Robert Schumann,"Robert Schumann (Zwickau, 8 de junio de 1810 - Endenich, Bonn, 29 de julio de 1856) fue un compositor alemán y un crítico de la música de la época del romanticismo. Es visto como uno de los más grandes y representativos compositores del romanticismo.

Tanto en su vida como en su obra refleja su máxima expresión la naturaleza del romanticismo, siempre envuelta en la pasión, el drama y, finalmente, la alegría. Une la ilustración literaria con una gran complejidad musical, creando obras de gran intensidad lírica. <a href=""https://www.last.fm/music/Robert+Schumann"">Read more on Last.fm</a>"
Jason Fervento," <a href=""https://www.last.fm/music/Jason+Fervento"">Read more on Last.fm</a>"
Amory Reel," <a href=""https://www.last.fm/music/Amory+Reel"">Read more on Last.fm</a>"
David A. Molina," <a href=""https://www.last.fm/music/David+A.+Molina"">Read more on Last.fm</a>"
Florian Christl," <a href=""https://www.last.fm/music/Florian+Christl"">Read more on Last.fm</a>"
Ray Chen," <a href=""https://www.last.fm/music/Ray+Chen"">Read more on Last.fm</a>"
KOHTA YAMAMOTO," <a href=""https://www.last.fm/music/KOHTA+YAMAMOTO"">Read more on Last.fm</a>"
Alexander Motovilov," <a href=""https://www.last.fm/music/Alexander+Motovilov"">Read more on Last.fm</a>"
Johannes Lehniger," <a href=""https://www.last.fm/music/Johannes+lehniger"">Read more on Last.fm</a>"
Giacomo Puccini,"Giacomo Antonio Domenico Michele Secondo María Puccini. (Toscana 1858 - Bruselas 1924)

Compositor italiano. Heredero de la gran tradición lírica italiana, pero al mismo tiempo abierto a otras corrientes y estilos propios del cambio de siglo, Puccini se convirtió en el gran dominador de la escena lírica internacional durante los primeros decenios del siglo XX. No fue un creador prolífico: sin contar algunas escasas piezas instrumentales y algunas religiosas compuestas en su juventud <a href=""https://www.last.fm/music/Giacomo+Puccini"">Read more on Last.fm</a>"
Vraell," <a href=""https://www.last.fm/music/Vraell"">Read more on Last.fm</a>"
Camille Saint-Saëns,"Camille Saint-Saëns nacio en París el 9 de octubre de 1835 y murió Argel el 16 de diciembre de 1921. Fue un director y compositor francés de música académica. Músico muy dotado —fue un virtuoso pianista y también un excelente improvisador al órgano—, espíritu curioso por todo, escritor, caricaturista, gran viajero, Saint-Saëns desempeñó un papel excepcional en la renovación de la música francesa, tanto por su enseñanza —tuvo como alumnos <a href=""https://www.last.fm/music/+noredirect/Camille+Saint-Sa%C3%ABns"">Read more on Last.fm</a>"
The Rock Orchestra," <a href=""https://www.last.fm/music/The+Rock+Orchestra"">Read more on Last.fm</a>"
D´Flow Aka La Maldad," <a href=""https://www.last.fm/music/D%C2%B4Flow+Aka+La+Maldad"">Read more on Last.fm</a>"
Tony Ann," <a href=""https://www.last.fm/music/+noredirect/Tony+Ann"">Read more on Last.fm</a>"
AURORA,"AURORA (Bergen, 15/06/1996), también conocida como Aurora Aksnes, es una cantante y compositora noruega. Lanzó su primer album ''All My Demons Greeting Me As a Friend'' el 10 de marzo de 2016.  <a href=""https://www.last.fm/music/Aurora"">Read more on Last.fm</a>"
Cellomano," <a href=""https://www.last.fm/music/Cellomano"">Read more on Last.fm</a>"
Mario Farini," <a href=""https://www.last.fm/music/Mario+Farini"">Read more on Last.fm</a>"
Sonic Abodes," <a href=""https://www.last.fm/music/Sonic+Abodes"">Read more on Last.fm</a>"
Julian Lloyd Webber," <a href=""https://www.last.fm/music/Julian+Lloyd+Webber"">Read more on Last.fm</a>"
Maria Callas,"Maria Anna Cecilia Sophia Kalogeropoulos (Nueva York, 2 de diciembre de 1923 - París, 16 de septiembre de 1977), más conocida por el nombre artístico de Maria Callas, fue una gran soprano griega. Es considerada como la más famosa cantante de ópera del periodo de posguerra.

Callas combinaba una impecable técnica de bel canto con un gran talento dramático, lo que le hicieron la más famosa actriz cantante de aquella época. Era extraordinariamente versátil <a href=""https://www.last.fm/music/Maria+Callas"">Read more on Last.fm</a>"
Hannah Parrott," <a href=""https://www.last.fm/music/Hannah+Parrott"">Read more on Last.fm</a>"
Peter Ries," <a href=""https://www.last.fm/music/Peter+Ries"">Read more on Last.fm</a>"
Brianna Tam," <a href=""https://www.last.fm/music/Brianna+Tam"">Read more on Last.fm</a>"
Andrés Martín," <a href=""https://www.last.fm/music/Andr%C3%A9s+Mart%C3%ADn"">Read more on Last.fm</a>"
Valentin Silvestrov," <a href=""https://www.last.fm/music/+noredirect/Valentin+Silvestrov"">Read more on Last.fm</a>"
"El Loco Abrahan ""LA ORQUESTA JOVEN"""," <a href=""https://www.last.fm/music/El+Loco+Abrahan+%22LA+ORQUESTA+JOVEN%22"">Read more on Last.fm</a>"
Alexis Ffrench," <a href=""https://www.last.fm/music/Alexis+Ffrench"">Read more on Last.fm</a>"
